,IC50
0, 1.7
1, 2.6
2, 3.0
3, 3.0
4, 3
5, 3.2
6, 3.5
7, 3.6
8, 4
9, 4
10, 4.2
11, 4.7
12, 5
13, 5.4
14, 5.7
15, 5.8
16, 6
17, 6
18, 7.0
19, 7.0
20, 7.2
21, 8
22, 8
23, 8
24, 8.3
25, 8.9
26, 9.0
27, 9.0
28, 9.2
29, 9.3
30, 10
31, 10
32, 10
33, 10
34, 10
35, 10
36, 10
37, 10
38, 10
39, 10
40, 10
41, 10
42, 10
43, 10
44, 10
45, 10.3
46, 11
47, 11
48, 11
49, 190
50, 190
51, 195
52, 200
53, 200
54, 200
55, 200
56, 200
57, 200
58, 200
59, 200
60, 200
61, 200
62, 200
63, 210
64, 210
65, 215
66, 220
67, 220
68, 220
69, 221
70, 230
71, 230
72, 230
73, 230
74, 230
75, 230
76, 230
77, 230
78, 230
79, 230
80, 239
81, 240
82, 240
83, 240
84, 240
85, 244
86, 250
87, 250
88, 250
89, 250
90, 250
91, 250
92, 250
93, 250
94, 250
95, 250
96, 260
97, 260
98, 260
99, 260
100, 260
101, 270
102, 270
103, 270
104, 270
105, 270
106, 275
107, 280
108, 280
109, 280
110, 280
111, 280
112, 280
113, 280
114, 280
115, 281
116, 290
117, 290
118, 290
119, 300
120, 300
121, 300
122, 300
123, 300
124, 300
125, 300
126, 300
127, 300
128, 300
129, 300
130, 300
131,<300
132,<300
133, 310
134, 310
135, 310
136, 310
137, 310
138, 310
139, 311
140, 320
141, 325
142, 330
143, 330
144, 330
145, 330
146, 330
147, 330
148, 330
149, 332
150, 340
151, 340
152, 350
153, 350
154, 350
155, 350
156, 350
157, 350
158, 350
159, 350
160, 360
161, 360
162, 360
163, 360
164, 360
165, 370
166, 370
167, 370
168, 370
169, 380
170, 380
171, 380
172, 380
173, 380
174, 382
175, 390
176, 400
177, 400
178, 400
179, 400
180, 400
181, 400
182, 400
183, 406
184, 410
185, 410
186, 410
187, 410
188, 410
189, 410
190, 420
191, 420
192, 420
193, 420
194, 420
195, 427
196, 430
197, 430
198, 430
199, 430
200, 431
201, 440
202, 440
203, 440
204, 440
205, 440
206, 440
207, 446
208, 450
209, 450
210, 450
211, 450
212, 450
213, 452
214, 460
215, 460
216, 460
217, 460
218, 470
219, 470
220, 479
221, 479
222, 480
223, 480
224, 480
225, 480
226, 484
227, 485
228, 490
229, 490
230, 490
231, 490
232, 490
233, 490
234, 490.0
235, 490.0
236, 490
237, 500
238, 500
239, 500
240, 500
241, 500
242, 500
243,500
244, 500
245, 500
246, 500
247, 500
248, 510
249, 510
250, 510
251, 510
252, 510
253, 530
254, 530
255, 530
256, 534
257, 540
258, 540
259, 540
260, 547
261, 550
262, 560
263, 570
264, 570
265, 570
266, 570
267, 580
268, 580
269, 590.0
270, 590
271, 590
272, 600
273, 600
274, 600
275, 600
276, 600
277, 600
278, 600
279, 606
280, 610
281, 610
282, 610
283, 610
284, 619
285, 620
286, 629
287, 630
288, 640
289, 640
290, 640
291, 640
292, 650
293, 650
294, 650
295, 650
296, 659
