mol_bdID,mol_smiles,bioactivity_class,mol_IC50
50648002,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1cccc([N+](=O)[O-])c1,active,1.4
50648007,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1ccccc1,active,1.7
50647999,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(Cc1ccccc1)C2=O)c1ccccc1,active,2.6
50648003,CC(C)CC(C)N1Cc2c(n(CC(=O)c3ccccc3)c3cc(-c4ccccc4)nn3c2=O)C1=O,active,3.0
51138741,CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCSc2nc3ccccc3s2)CC1,active,3.0
50004373,CN(C)c1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(N(C)C)cc2)cc1,active,3.0
330423,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CN2CCCCCC2=O)cc1,active,3.2
50648005,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1C1CCCCC1,active,3.5
330422,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CCCCCCN2CCCCCC2=O)cc1,active,3.6
50529973,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ncccc3OCCCO)CC2)c1,active,4.0
50084919,c1ccc(-c2nc(C3OCC4(CCCCC4)CO3)[nH]c2-c2ccccc2)cc1,active,4.0
330420,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccccc1,active,4.2
50648001,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1Cc1ccccc1,active,4.7
50084195,CCCCCCCCCCCCn1nnc(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1,active,5.0
50835199,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)ccnc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,5.4
50648000,C=CCOc1ccc(-c2cc3n(Cc4ccccc4)c4c(c(=O)n3n2)CN(C2CCCCC2)C4=O)cc1,active,5.7
50061010,Cc1cc2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2cc1C,active,5.8
50084194,CCCCCCCCCCCCc1nnn(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1,active,6.0
50474859,CCCC(N)C(=O)O[C@H]1CC2[C@](C)(CC[C@@H]3OC(c4ccccc4)OC[C@@]23C)C2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]21C,active,6.0
51128133,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1,active,7.0
51138746,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1,active,7.0
50648004,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2C/C=C/c2ccccc2)CN1C1CCCCC1,active,7.2
