mol_bdID,mol_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
50648002,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1cccc([N+](=O)[O-])c1,active,511.5380000000004,4.242600000000004,0.0,8.0,8.853871964321762
50648007,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(C1CCCCC1)C2=O)c1ccccc1,active,466.54100000000034,4.334400000000004,0.0,6.0,8.769551078621726
50647999,O=C(Cn1c2c(c(=O)n3nc(-c4ccccc4)cc13)CN(Cc1ccccc1)C2=O)c1ccccc1,active,474.5200000000002,4.201900000000004,0.0,6.0,8.585026652029182
50648003,CC(C)CC(C)N1Cc2c(n(CC(=O)c3ccccc3)c3cc(-c4ccccc4)nn3c2=O)C1=O,active,468.5570000000002,4.436300000000004,0.0,6.0,8.522878745280337
51138741,CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCSc2nc3ccccc3s2)CC1,active,519.7870000000003,4.791920000000004,1.0,9.0,8.522878745280337
50004373,CN(C)c1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)C(=O)Nc3ccc(F)cc3F)[nH]c2-c2ccc(N(C)C)cc2)cc1,active,899.1940000000001,12.97009999999998,3.0,7.0,8.522878745280337
330423,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CN2CCCCCC2=O)cc1,active,610.7950000000001,7.240700000000007,1.0,5.0,8.494850021680094
50648005,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1C1CCCCC1,active,438.53100000000035,4.499800000000004,0.0,5.0,8.455931955649724
330422,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccc(OC(=O)CCCCCCN2CCCCCC2=O)cc1,active,680.9299999999997,9.191200000000002,1.0,5.0,8.443697499232712
50529973,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ncccc3OCCCO)CC2)c1,active,589.7810000000002,6.040300000000006,4.0,7.0,8.397940008672037
50084919,c1ccc(-c2nc(C3OCC4(CCCCC4)CO3)[nH]c2-c2ccccc2)cc1,active,374.4839999999999,5.739600000000005,1.0,3.0,8.397940008672037
330420,CC(C)c1cccc(C(C)C)c1NC(=O)CC(=O)C(Cc1ccccc1)Cc1ccccc1,active,441.6150000000001,6.932700000000007,1.0,2.0,8.3767507096021
50648001,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2Cc2ccccc2)CN1Cc1ccccc1,active,446.5100000000002,4.367300000000004,0.0,5.0,8.327902142064282
50084195,CCCCCCCCCCCCn1nnc(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1,active,455.69100000000014,7.022000000000007,1.0,5.0,8.301029995663981
50835199,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)ccnc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,527.6690000000002,7.1580000000000075,2.0,6.0,8.267606240177031
50648000,C=CCOc1ccc(-c2cc3n(Cc4ccccc4)c4c(c(=O)n3n2)CN(C2CCCCC2)C4=O)cc1,active,494.5950000000004,5.064600000000005,0.0,6.0,8.244125144327509
50061010,Cc1cc2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2cc1C,active,437.87700000000024,7.0942400000000045,2.0,2.0,8.236572006437063
50084194,CCCCCCCCCCCCc1nnn(CC(=O)Nc2c(C(C)C)cccc2C(C)C)n1,active,455.69100000000014,7.022000000000007,1.0,5.0,8.221848749616356
50474859,CCCC(N)C(=O)O[C@H]1CC2[C@](C)(CC[C@@H]3OC(c4ccccc4)OC[C@@]23C)C2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]21C,active,644.7650000000002,5.482200000000006,2.0,10.0,8.221848749616356
51128133,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1,active,466.69100000000026,8.536100000000003,1.0,4.0,8.154901959985743
51138746,CC(C)c1cccc(C(C)C)c1NC(=O)CCCCCCCCSc1nc2ccccc2o1,active,466.69100000000026,8.536100000000003,1.0,4.0,8.154901959985743
50648004,O=C1c2c(c(=O)n3nc(-c4ccccc4)cc3n2C/C=C/c2ccccc2)CN1C1CCCCC1,active,464.56900000000036,5.164900000000005,0.0,5.0,8.142667503568731
50107737,CCCCCCCCCCCCOC(=O)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccn1,active,508.7470000000002,8.514800000000006,1.0,4.0,8.096910013008056
50058761,CCCCCCCN(CCCCCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,632.8650000000001,10.959099999999992,2.0,3.0,8.096910013008056
50058759,CCCCCCCN(CCCCCS(=O)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,606.7830000000002,8.804300000000005,2.0,3.0,8.096910013008056
50835203,CCCCn1c(=O)c(NC(=O)Nc2c(C(C)C)cc(N)cc2C(C)C)c(-c2cccc(OC)c2)c2cccnc21,active,541.6960000000003,7.345200000000006,3.0,6.0,8.080921907623926
50060995,Cc1cc(Cl)c2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2c1,active,458.29500000000013,7.439220000000002,2.0,2.0,8.050609993355087
51138724,CSc1cc(C)nc(SC)c1NC(=O)CN1CCN(CCSc2nc3ccccc3o2)CC1,active,503.71900000000034,4.323420000000003,1.0,9.0,8.045757490560675
50081760,CCCCCCCCCCC(C)(C)C(=O)Nc1c(C)c(N(C)C)c(C)c2c1OC(C)(C)C2,active,444.7040000000003,7.5784400000000085,1.0,3.0,8.045757490560675
50061006,Cc1cc(C)c2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2c1,active,437.8770000000001,7.094240000000004,2.0,2.0,8.036212172654444
50060989,Cc1cc2c(-c3ccccc3C)c(NC(=O)Nc3ccc(F)cc3F)cnc2cc1Cl,active,437.87700000000007,7.094240000000003,2.0,2.0,8.031517051446064
50001655,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50041542,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50084186,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)n1,active,531.7890000000002,8.611400000000005,1.0,5.0,8.0
50084917,COc1ccc(N2CCN(CCCCC3(C)COC(c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)OC3)CC2)cc1,active,566.746,6.796500000000007,1.0,6.0,8.0
50051825,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50058716,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)NCCC,active,520.7870000000001,8.398100000000007,2.0,3.0,8.0
50058734,CCCCCCCCNC(=O)N(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)c1ccccc1,active,568.8310000000001,9.5828,2.0,3.0,8.0
50058740,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50058757,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)NC1CCCCC1,active,560.8519999999999,9.3208,2.0,3.0,8.0
50107732,CCCCCCCCCCCCOC(=O)C(C(=O)Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,active,507.7590000000002,9.119800000000001,1.0,3.0,8.0
50004336,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50004358,COc1ccc(-c2nc(SCCCCCN(CCCCCSc3nc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)[nH]3)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1,active,863.1630000000001,11.480199999999993,3.0,9.0,8.0
50004381,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50004400,CCCCCCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,active,590.7840000000002,9.788799999999998,2.0,3.0,8.0
50004869,CCCCCCCCCCCCn1nnc(C(C(=O)Nc2c(C(C)C)cccc2C(C)C)c2ccccc2)n1,active,531.7890000000002,8.611400000000005,1.0,5.0,8.0
