Name,SMILES
,COc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(Cl)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CCc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(Br)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(F)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(Br)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CSc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(I)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccccc3I)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(N=[N+]=[N-])cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(I)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(Br)c(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(C)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,C=Cc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc([N+](=O)[O-])cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CCC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(=O)CC
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc([N+](=O)[O-])c(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,C[C@@]12CO[C@@H](c3ccccc3)O[C@H]1CC[C@@]1(C)[C@H]2C[C@H](OC(=O)c2ccc(C#N)cc2)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]12
,COc1ccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)cc1F
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C)c(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(C)C(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)cc3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(=O)C(C)C
,Cc1ccc([C@@H]2OC[C@@]3(C)[C@@H]4C[C@H](OC(=O)c5ccc(C#N)cc5)[C@@]5(C)Oc6cc(-c7cccnc7)oc(=O)c6[C@H](O)[C@@H]5[C@@]4(C)CC[C@@H]3O2)c(C)c1
,C[C@@]12CO[C@@H](c3ccccc3F)O[C@H]1CC[C@@]1(C)[C@H]2C[C@H](OC(=O)c2ccc(C#N)cc2)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]12
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3cccc(Cl)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,C[C@@]12CO[C@@H](c3ccccc3)O[C@H]1CC[C@@]1(C)[C@H]2C[C@H](OC(=O)c2ccc(F)cc2)[C@@]2(C)Oc3cc(-c4cccnc4)oc(=O)c3[C@H](O)[C@H]12
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(Br)cc3F)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,Cc1cccc(C)c1[C@@H]1OC[C@@]2(C)[C@@H]3C[C@H](OC(=O)c4ccc(C#N)cc4)[C@@]4(C)Oc5cc(-c6cccnc6)oc(=O)c5[C@H](O)[C@@H]4[C@@]3(C)CC[C@@H]2O1
,Cc1cccc([C@@H]2OC[C@@]3(C)[C@@H]4C[C@H](OC(=O)c5ccc(C#N)cc5)[C@@]5(C)Oc6cc(-c7cccnc7)oc(=O)c6[C@H](O)[C@@H]5[C@@]4(C)CC[C@@H]3O2)c1
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(C#N)c(F)c3)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](OC(=O)c3ccc(F)c(F)c3F)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
,CSc1cccc(C(=O)O[C@H]2C[C@H]3[C@](C)(COC(C)=O)[C@@H](OC(C)=O)CC[C@]3(C)[C@H]3[C@@H](O)c4c(cc(-c5cccnc5)oc4=O)O[C@]23C)c1
